Content,English,,Español,,
S1 - Result - Apply for SEBT - Card 1 Action,Apply for DC SUN Bucks,Apply for Summer EBT,Aplicar para DC SUN Bucks,Solicitar Summer EBT,
S1 - Result - Apply for SEBT - Library Applications,Copies of the paper application are also available at DC public libraries.,Copies of the paper application are also available at DC public libraries.,También hay copias de la aplicación disponibles en las bibliotecas públicas de DC.,También hay copias de la solicitud disponibles en las bibliotecas públicas de DC.,
S1 - Result - Apply for SEBT - Card 2 Title,Do you have other children in your household?,Do you have other children in your household?,¿Tiene otros hijos en tu hogar?,¿Tiene otros hijos en tu hogar?,
S1 - Result - Apply for SEBT - Card 2 Body,"To check if you need to submit a DC SUN Bucks application for any other school-age children in your household, please provide their information by clicking on the button below.","To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesitas presentar una solicitud de DC SUN Bucks para algún otro menor en tu hogar que está en edad escolar, proporciona tu información haciendo clic en el botón a continuación.","Para verificar si necesitas presentar una solicitud de Summer EBT para algún otro menor en tu hogar que está en edad escolar, proporciona tu información haciendo clic en el botón a continuación.",
S1 - Result - Apply for SEBT - Card 2 Action,Check another child,Check another child,Revisar otro(a) niño(a),Revisar otro(a) niño(a),
S1 - Result - Streamlined Enrolled - Title,"Looks like your child is eligible, and you DO NOT need to submit an application for this child","Looks like your child is eligible, and you DO NOT need to submit an application for this child",Parece que su hijo(a) es elegible y NO es necesario que aplique.,Parece que tu hijo(a) es elegible y NO es necesario que aplique.,
S1 - Result - Streamlined Enrolled - Body,"Based on our records, we already have all the information we need to determine your child's DC Sun Bucks eligibility for 2025.

2025 Sun Bucks benefits were issued beginning in June 2025 and expire 122 days after issuance.","Based on our records, we already have all the information we need to determine your child's Summer EBT eligibility for 2025.

2025 Summer EBT benefits were issued beginning in June 2025 and expire 122 days after issuance.","Según nuestros registros ya tenemos toda la información que necesitamos para determinar la elegibilidad de DC SUN Bucks de tu hijo(a) para 2025.

Los beneficios de DC SUN Bucks 2025 se emitieron a partir de junio de 2025 y vencen 122 días después de su emisión.","Según nuestros registros, ya tenemos toda la información que necesitamos para determinar la elegibilidad de Summer EBT de tu hijo(a) para 2025.

Los beneficios de Summer EBT 2025 se emitieron a partir de junio de 2025 y vencen 122 días después de su emisión.",
S1 - Result - Streamlined Enrolled - Body 1,The following children are *likely automatically enrolled for DC SUN Bucks for 2026*.,The following children are *likely automatically enrolled for Summer EBT for 2026*.,Es *probable que los siguientes menores estén inscritos automáticamente* en DC SUN Bucks para 2026,Es *probable que los siguientes menores estén inscritos automáticamente* en Summer EBT para 2026,
S1 - Result - Streamlined Enrolled - Alert Title,Check the DC SUN Bucks Portal to see where your children will receive their summer food benefits,Check the Summer EBT Portal to see where your children will receive their summer food benefits,Revisa el portal de DC SUN Bucks para ver dónde tus hijos recibirán sus beneficios de alimentos de verano,Revisa el portal de Summer EBT para ver dónde tus hijos recibirán sus beneficios de alimentos de verano,
S1 - Result - Streamlined Enrolled - Alert Body,"If they are not enrolled in SNAP or TANF and received DC SUN Bucks cards last summer, we will issue their one-time payment of $120 to the same cards.

If they are not enrolled in SNAP or TANF and new to DC SUN Bucks or their previous card has been deactivated, we will mail a new card to the address we have on file.","If they received the food benefit last summer, we will issue their one-time payment of $120 to the same Summer EBT cards.

If your child is new to Summer EBT or their previous card has been deactivated, we will mail a new card to the address we have on file.","Si no están inscritos en SNAP o TANF y recibieron tarjetas de DC SUN Bucks el verano pasado, emitiremos su pago total de $120 en las mismas tarjetas. 

Si no está inscrito en SNAP o TANF y aún no participa en DC SUN Bucks, o si su tarjeta anterior ha sido desactivada, enviaremos por correo una tarjeta nueva a la dirección que tenemos en nuestros registros.","Si no están inscritos en SNAP o Colorado Works (TANF) y recibieron tarjetas de DC SUN Bucks el verano pasado, emitiremos su pago total de $120 en las mismas tarjetas. 

Si no está inscrito en SNAP o Colorado Works (TANF) y aún no participa en DC SUN Bucks, o si su tarjeta anterior ha sido desactivada, enviaremos por correo una tarjeta nueva a la dirección que tenemos en nuestros registros.",
